year,commodity,tonnes_per_ha
1986,maize,7.493
1986,soybeans,2.2411000000000003
1986,potatoes,33.054
1986,beans,1.7213
1986,peas,2.4014
1986,barley,2.734
1986,bananas,11.0831
1987,wheat,2.533
1987,rice,6.2271
1987,maize,7.5225
1987,soybeans,2.2794000000000003
1987,potatoes,33.7394
1987,beans,1.7524000000000002
1987,peas,2.6497
1987,barley,2.8178
1987,bananas,11.94
1988,wheat,2.2913
1988,rice,6.1801
1988,maize,5.3109
1988,soybeans,1.8155
1988,potatoes,31.7265
1988,beans,1.5951000000000002
1988,peas,3.1419
1988,barley,2.0434
1988,bananas,13.8568
1989,wheat,2.2024
1989,rice,6.4466
1989,maize,7.2978
1989,soybeans,2.1783
1989,potatoes,32.4007
1989,beans,1.611
1989,peas,3.2193
1989,barley,2.6159000000000003
1989,bananas,13.4321
1990,wheat,2.6567000000000003
1990,rice,6.197500000000001
1990,maize,7.438000000000001
1990,soybeans,2.2920000000000003
1990,potatoes,32.880900000000004
1990,beans,1.7416
1990,peas,2.2464
1990,barley,3.0167
1990,bananas,14.2389
1991,wheat,2.3038000000000003
1991,rice,6.423100000000001
1991,maize,6.8171
1991,soybeans,2.3029
1991,potatoes,34.057900000000004
1991,beans,1.9776
1991,peas,2.8673
1991,barley,2.9693
1991,bananas,14.3639
1992,wheat,2.6433
1992,rice,6.4294
1992,maize,8.252600000000001
1992,soybeans,2.5295
1992,potatoes,36.2533
1992,beans,1.6571
1992,peas,2.1706000000000003
1992,barley,3.3609
1992,bananas,15.4545
1993,wheat,2.5699
1993,rice,6.1763
1993,maize,6.321000000000001
1993,soybeans,2.1941
1993,potatoes,36.5091
1993,beans,1.5144
1993,peas,3.0971
1993,barley,3.1711
1993,bananas,15.9226
1994,wheat,2.527
1994,rice,6.6851
1994,maize,8.6996
1994,soybeans,2.7813000000000003
1994,potatoes,37.9868
1994,beans,1.7719
1994,peas,2.5867
1994,barley,3.0250000000000004
1994,bananas,17.584300000000002
1995,wheat,2.4065000000000003
1995,rice,6.3007
1995,maize,7.122800000000001
1995,soybeans,2.3759
1995,potatoes,36.2537
1995,beans,1.8139
1995,peas,3.2963
1995,barley,3.0792
1995,bananas,16.573
1996,wheat,2.4389000000000003
1996,rice,6.8593
1996,maize,7.9773
1996,soybeans,2.5269
1996,potatoes,39.2447
1996,beans,1.7919
1996,peas,1.7547
1996,barley,3.1479000000000004
1996,bananas,15.2062
1997,wheat,2.6574
1997,rice,6.6099000000000006
1997,maize,7.952100000000001
1997,soybeans,2.6164
1997,potatoes,38.6777
1997,beans,1.8714
1997,peas,2.6082
1997,barley,3.1238
1997,bananas,16.1719
1998,wheat,2.9034
1998,rice,6.347300000000001
1998,maize,8.4382
